timestamp,key,device_id,parameter,n_samples,metric_name,metric,model_type,status,reason,predicted
2026-06-09T14:36:53.124419,Garden_Irrigation_1__Zone 1 State,Garden_Irrigation_1,Zone 1 State,150,Accuracy,1.0,clf,OK,,
2026-06-09T14:36:53.345679,Hallway_Vacuum_1__Suction Power,Hallway_Vacuum_1,Suction Power,22,Accuracy,0.4,clf,DROPPED,accuracy 0.400 < 0.55,
2026-06-09T14:36:53.582616,Kitchen_Speaker_1__Playback State,Kitchen_Speaker_1,Playback State,214,Accuracy,1.0,clf,OK,,
2026-06-09T14:36:53.788709,Kitchen_Speaker_1__Volume Level,Kitchen_Speaker_1,Volume Level,107,MAE,3.2386,reg,OK,,
2026-06-09T14:36:54.040592,LivingRoom_AC_1__Fan Speed,LivingRoom_AC_1,Fan Speed,107,Accuracy,0.4091,clf,DROPPED,accuracy 0.409 < 0.55,
2026-06-09T14:36:54.284003,LivingRoom_AC_1__Operation Mode,LivingRoom_AC_1,Operation Mode,150,Accuracy,0.9333,clf,OK,,
2026-06-09T14:36:54.472421,LivingRoom_AC_1__Target Temperature,LivingRoom_AC_1,Target Temperature,150,MAE,0.79,reg,OK,,
2026-06-09T14:36:54.668275,LivingRoom_Blinds_1__Open/Close Percentage,LivingRoom_Blinds_1,Open/Close Percentage,214,MAE,5.0396,reg,OK,,
2026-06-09T14:36:54.907831,LivingRoom_Fan_1__Fan Speed,LivingRoom_Fan_1,Fan Speed,91,Accuracy,0.3684,clf,DROPPED,accuracy 0.368 < 0.55,
2026-06-09T14:36:55.143160,LivingRoom_Fan_1__Power State,LivingRoom_Fan_1,Power State,182,Accuracy,1.0,clf,OK,,
2026-06-09T14:36:55.334856,LivingRoom_LED_1__Brightness,LivingRoom_LED_1,Brightness,150,MAE,4.9637,reg,OK,,
2026-06-09T14:36:55.603593,LivingRoom_LED_1__Color Temperature,LivingRoom_LED_1,Color Temperature,150,Accuracy,0.4,clf,DROPPED,accuracy 0.400 < 0.55,
2026-06-09T14:36:55.861445,LivingRoom_LED_1__Power State,LivingRoom_LED_1,Power State,300,Accuracy,1.0,clf,OK,,
2026-06-09T14:36:56.109018,TV_Plug_1__Switch State,TV_Plug_1,Switch State,300,Accuracy,1.0,clf,OK,,
2026-06-10T21:28:33.959914,Bedroom_AC_2__Operation Mode,Bedroom_AC_2,Operation Mode,150,Accuracy,0.6333,clf,OK,,
2026-06-10T21:28:34.227113,Bedroom_AC_2__Target Temperature,Bedroom_AC_2,Target Temperature,150,MAE,0.013,reg,OK,,
2026-06-10T21:28:34.489251,Bedroom_LED_2__Brightness,Bedroom_LED_2,Brightness,150,MAE,5.7416,reg,OK,,
2026-06-10T21:28:34.822326,Bedroom_LED_2__Color Temperature,Bedroom_LED_2,Color Temperature,150,Accuracy,0.5,clf,DROPPED,accuracy 0.500 < 0.55,
2026-06-10T21:28:35.141016,FrontDoor_Cam_1__Privacy Mode,FrontDoor_Cam_1,Privacy Mode,150,Accuracy,0.6667,clf,OK,,
2026-06-10T21:28:35.474276,Garden_Irrigation_1__Zone 1 State,Garden_Irrigation_1,Zone 1 State,150,Accuracy,1.0,clf,OK,,
2026-06-10T21:28:35.811245,Hallway_Vacuum_1__Suction Power,Hallway_Vacuum_1,Suction Power,22,Accuracy,0.4,clf,DROPPED,accuracy 0.400 < 0.55,
2026-06-10T21:28:36.128819,Kitchen_Speaker_1__Playback State,Kitchen_Speaker_1,Playback State,214,Accuracy,1.0,clf,OK,,
2026-06-10T21:28:36.400874,Kitchen_Speaker_1__Volume Level,Kitchen_Speaker_1,Volume Level,107,MAE,3.2386,reg,OK,,
2026-06-10T21:28:36.794253,LivingRoom_AC_1__Fan Speed,LivingRoom_AC_1,Fan Speed,107,Accuracy,0.4091,clf,DROPPED,accuracy 0.409 < 0.55,
2026-06-10T21:28:37.158385,LivingRoom_AC_1__Operation Mode,LivingRoom_AC_1,Operation Mode,150,Accuracy,0.9333,clf,OK,,
2026-06-10T21:28:37.453045,LivingRoom_AC_1__Target Temperature,LivingRoom_AC_1,Target Temperature,152,MAE,0.88,reg,OK,,
2026-06-10T21:28:37.727492,LivingRoom_Blinds_1__Open/Close Percentage,LivingRoom_Blinds_1,Open/Close Percentage,397,MAE,9.4674,reg,OK,,
2026-06-10T21:28:38.035650,LivingRoom_Fan_1__Fan Speed,LivingRoom_Fan_1,Fan Speed,91,Accuracy,0.3684,clf,DROPPED,accuracy 0.368 < 0.55,
2026-06-10T21:28:38.364923,LivingRoom_Fan_1__Power State,LivingRoom_Fan_1,Power State,182,Accuracy,1.0,clf,OK,,
2026-06-10T21:28:38.627468,LivingRoom_LED_1__Brightness,LivingRoom_LED_1,Brightness,150,MAE,4.9637,reg,OK,,
2026-06-10T21:28:38.965986,LivingRoom_LED_1__Color Temperature,LivingRoom_LED_1,Color Temperature,150,Accuracy,0.4,clf,DROPPED,accuracy 0.400 < 0.55,
2026-06-10T21:28:39.330859,LivingRoom_LED_1__Power State,LivingRoom_LED_1,Power State,300,Accuracy,1.0,clf,OK,,
2026-06-10T21:28:39.660670,TV_Plug_1__Switch State,TV_Plug_1,Switch State,300,Accuracy,1.0,clf,OK,,
2026-06-10T21:28:57.764989,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T21:28:58.661169,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T21:41:41.773363,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T21:41:42.634831,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894178
2026-06-10T21:43:34.787154,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,5.702960317460317
2026-06-10T21:44:25.452087,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T21:44:26.251511,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T21:46:30.028220,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
2026-06-10T21:46:30.936173,Smart Motorized Blinds__Open/Close Percentage,Smart Motorized Blinds,Open/Close Percentage,0,REJECTION,,schema,REJECTED,Unknown: Smart Motorized Blinds/Open/Close Percentage,62.99419179894177
